Game_Date,Year,Game_Stage,HomeTeam_ID,HomeTeam_Abb,HomeTeam_Score,HomeTeam_Name,VisitorTeam_ID,VisitorTeam_Abb,VisitorTeam_Score,VisitorTeam_Name
1993-04-24,1992,Final,14,LAL,125.0,Los Angeles Lakers,26,SAC,107,Sacramento Kings
1993-04-25,1992,Final,10,GSW,119.0,Golden State Warriors,21,OKC,109,Oklahoma City Thunder
1994-02-20,1993,Final,4,CHA,101.0,Charlotte Hornets,6,CLE,105,Cleveland Cavaliers
1994-02-21,1993,Final,16,MIA,128.0,Miami Heat,30,WAS,98,Washington Wizards
1994-02-22,1993,Final,6,CLE,114.0,Cleveland Cavaliers,18,MIN,81,Minnesota Timberwolves
1994-02-23,1993,Final,1,ATL,99.0,Atlanta Hawks,21,OKC,92,Oklahoma City Thunder
1994-02-25,1993,Final,1,ATL,111.0,Atlanta Hawks,17,MIL,100,Milwaukee Bucks
1995-01-12,1994,Final,24,PHX,96.0,Phoenix Suns,6,CLE,107,Cleveland Cavaliers
1995-01-13,1994,Final,21,OKC,108.0,Oklahoma City Thunder,13,LAC,101,LA Clippers
1995-01-14,1994,Final,13,LAC,108.0,LA Clippers,24,PHX,134,Phoenix Suns
1995-01-16,1994,Final,18,MIN,94.0,Minnesota Timberwolves,11,HOU,75,Houston Rockets
1995-01-17,1994,Final,2,BOS,92.0,Boston Celtics,27,SAS,101,San Antonio Spurs
1995-01-18,1994,Final,9,DET,86.0,Detroit Pistons,29,UTA,99,Utah Jazz
1995-01-19,1994,Final,25,POR,115.0,Portland Trail Blazers,24,PHX,122,Phoenix Suns
1995-01-20,1994,Final,9,DET,96.0,Detroit Pistons,11,HOU,106,Houston Rockets
1995-01-20,1994,Final,30,WAS,102.0,Washington Wizards,23,PHI,98,Philadelphia 76ers
1995-01-21,1994,Final,17,MIL,120.0,Milwaukee Bucks,9,DET,100,Detroit Pistons
1995-01-22,1994,Final,16,MIA,95.0,Miami Heat,20,NYK,104,New York Knicks
1995-01-24,1994,Final,17,MIL,99.0,Milwaukee Bucks,11,HOU,115,Houston Rockets
